"seq_number","Project","ndetections","max_Occupancy_prob","sum.taxonomy"
"merged_fishcard_12S_all_1","Taylor",33,0.999999883835049,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_10","Taylor",29,0.999995461000972,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_100","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;;;"
"merged_fishcard_12S_all_1001","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_1002","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_1003","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_1004","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Chondrichthyes;Pristiformes/Rhiniformes group;Rhinobatidae;Pseudobatos;Pseudobatos productus"
"merged_fishcard_12S_all_1005","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_1006","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_1007","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_101","Taylor",9,0.893546946915494,NA
"merged_fishcard_12S_all_1015","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Mammalia;Rodentia;Cricetidae;Peromyscus;Peromyscus maniculatus"
"merged_fishcard_12S_all_1016","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"merged_fishcard_12S_all_1017","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_102","Taylor",4,0.715713817592095,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_1020","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;Larus occidentalis"
"merged_fishcard_12S_all_1021","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_1022","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_1023","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_1024","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_1026","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher"
"merged_fishcard_12S_all_1027","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys coenosus"
"merged_fishcard_12S_all_1028","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_1029","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_103","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_1030","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_1031","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"merged_fishcard_12S_all_1036","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_1037","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_1038","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_1039","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_104","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Sarda;Sarda chiliensis"
"merged_fishcard_12S_all_1040","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher"
"merged_fishcard_12S_all_1044","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"merged_fishcard_12S_all_1045","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_1046","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"merged_fishcard_12S_all_1047","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"merged_fishcard_12S_all_1048","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"merged_fishcard_12S_all_1049","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_105","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_1050","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_1051","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"merged_fishcard_12S_all_1052","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"merged_fishcard_12S_all_1054","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_1055","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_1056","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans"
"merged_fishcard_12S_all_1057","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_1058","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_106","Taylor",28,0.999959311351987,NA
"merged_fishcard_12S_all_1062","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_1063","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"merged_fishcard_12S_all_107","Taylor",7,0.830812408311128,"Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys coenosus"
"merged_fishcard_12S_all_108","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_109","Taylor",5,0.763631672827674,NA
"merged_fishcard_12S_all_11","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_110","Taylor",15,0.979406053250658,NA
"merged_fishcard_12S_all_111","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax"
"merged_fishcard_12S_all_112","Taylor",6,0.802396160540849,"Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"merged_fishcard_12S_all_114","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus"
"merged_fishcard_12S_all_115","Taylor",22,0.998951283939722,NA
"merged_fishcard_12S_all_116","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_117","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_118","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena guttata"
"merged_fishcard_12S_all_119","Taylor",13,0.965099160379335,NA
"merged_fishcard_12S_all_12","Taylor",7,0.830812408311128,"Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea"
"merged_fishcard_12S_all_120","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_123","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Syngnathiformes;Centriscidae;Macroramphosus;"
"merged_fishcard_12S_all_124","Taylor",26,0.99981339208604,NA
"merged_fishcard_12S_all_125","Taylor",13,0.965099160379335,NA
"merged_fishcard_12S_all_126","Taylor",18,0.992570076514124,NA
"merged_fishcard_12S_all_127","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher"
"merged_fishcard_12S_all_128","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;"
"merged_fishcard_12S_all_129","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_13","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_130","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_131","Taylor",25,0.999688068014849,NA
"merged_fishcard_12S_all_132","Taylor",14,0.968434899515157,NA
"merged_fishcard_12S_all_135","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_136","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;;"
"merged_fishcard_12S_all_137","Taylor",29,0.999995461000972,NA
"merged_fishcard_12S_all_138","Taylor",20,0.996701460025119,NA
"merged_fishcard_12S_all_139","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_14","Taylor",16,0.983823077932364,"Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus"
"merged_fishcard_12S_all_140","Taylor",32,0.999994589018844,NA
"merged_fishcard_12S_all_143","Taylor",30,0.999999343897505,NA
"merged_fishcard_12S_all_144","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;"
"merged_fishcard_12S_all_146","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_147","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax"
"merged_fishcard_12S_all_148","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Molidae;Mola;Mola mola"
"merged_fishcard_12S_all_15","Taylor",8,0.869528477368332,"Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Ctenopharyngodon;Ctenopharyngodon idella"
"merged_fishcard_12S_all_150","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"merged_fishcard_12S_all_151","Taylor",12,0.95201303927824,NA
"merged_fishcard_12S_all_152","Taylor",12,0.95201303927824,"Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaenodes;Scorpaenodes xyris"
"merged_fishcard_12S_all_153","Taylor",21,0.997652448519003,NA
"merged_fishcard_12S_all_154","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_155","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;"
"merged_fishcard_12S_all_156","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Decapterus;Decapterus muroadsi"
"merged_fishcard_12S_all_157","Taylor",29,0.999995461000972,NA
"merged_fishcard_12S_all_158","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;;"
"merged_fishcard_12S_all_159","Taylor",7,0.830812408311128,NA
"merged_fishcard_12S_all_16","Taylor",29,0.999995461000972,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;"
"merged_fishcard_12S_all_160","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_161","Taylor",19,0.994804103787489,NA
"merged_fishcard_12S_all_162","Taylor",13,0.965099160379335,NA
"merged_fishcard_12S_all_163","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_164","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus"
"merged_fishcard_12S_all_165","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_166","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_167","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha"
"merged_fishcard_12S_all_169","Taylor",14,0.968434899515157,NA
"merged_fishcard_12S_all_17","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_170","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus"
"merged_fishcard_12S_all_171","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Ophidiiformes;Bythitidae;Cataetyx;Cataetyx rubrirostris"
"merged_fishcard_12S_all_173","Taylor",22,0.998951283939722,NA
"merged_fishcard_12S_all_174","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;"
"merged_fishcard_12S_all_175","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Labrisomus;Labrisomus xanti"
"merged_fishcard_12S_all_176","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon"
"merged_fishcard_12S_all_177","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum"
"merged_fishcard_12S_all_178","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Choerodon;Choerodon anchorago"
"merged_fishcard_12S_all_179","Taylor",32,0.999994589018844,NA
"merged_fishcard_12S_all_18","Taylor",36,0.999999999998287,"Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis"
"merged_fishcard_12S_all_181","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_183","Taylor",20,0.996701460025119,NA
"merged_fishcard_12S_all_184","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_186","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Amblygaster;Amblygaster sirm"
"merged_fishcard_12S_all_187","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;"
"merged_fishcard_12S_all_188","Taylor",26,0.99981339208604,NA
"merged_fishcard_12S_all_19","Taylor",12,0.95201303927824,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_190","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Syngnathus;Syngnathus leptorhynchus"
"merged_fishcard_12S_all_191","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax"
"merged_fishcard_12S_all_192","Taylor",4,0.715713817592095,"Eukaryota;Chordata;Actinopteri;Anguilliformes;;;"
"merged_fishcard_12S_all_193","Taylor",31,0.999998786318631,NA
"merged_fishcard_12S_all_194","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_195","Taylor",3,0.681772184882116,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_196","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_198","Taylor",2,0.653403595210957,NA
"merged_fishcard_12S_all_199","Taylor",13,0.965099160379335,NA
"merged_fishcard_12S_all_2","Taylor",16,0.983823077932364,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_20","Taylor",23,0.999146959955164,"Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax"
"merged_fishcard_12S_all_200","Taylor",10,0.909231650674222,NA
"merged_fishcard_12S_all_203","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;"
"merged_fishcard_12S_all_205","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_206","Taylor",10,0.909231650674222,NA
"merged_fishcard_12S_all_207","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;"
"merged_fishcard_12S_all_208","Taylor",22,0.998951283939722,NA
"merged_fishcard_12S_all_209","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_21","Taylor",24,0.999515743553185,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus"
"merged_fishcard_12S_all_210","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Microlepidotus;Microlepidotus inornatus"
"merged_fishcard_12S_all_211","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus"
"merged_fishcard_12S_all_212","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_213","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"merged_fishcard_12S_all_215","Taylor",2,0.653403595210957,"Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax"
"merged_fishcard_12S_all_216","Taylor",11,0.936658740177059,NA
"merged_fishcard_12S_all_217","Taylor",8,0.869528477368332,NA
"merged_fishcard_12S_all_218","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Scarus;Scarus niger"
"merged_fishcard_12S_all_219","Taylor",3,0.681772184882116,NA
"merged_fishcard_12S_all_22","Taylor",33,0.999999883835049,NA
"merged_fishcard_12S_all_220","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_221","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis"
"merged_fishcard_12S_all_222","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_223","Taylor",1,0.644483826915621,NA
"merged_fishcard_12S_all_224","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus"
"merged_fishcard_12S_all_225","Taylor",11,0.936658740177059,NA
"merged_fishcard_12S_all_227","Taylor",18,0.992570076514124,NA
"merged_fishcard_12S_all_228","Taylor",14,0.968434899515157,NA
"merged_fishcard_12S_all_229","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Lutjaniformes;;;"
"merged_fishcard_12S_all_23","Taylor",36,0.999999999998287,NA
"merged_fishcard_12S_all_231","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;"
"merged_fishcard_12S_all_232","Taylor",4,0.715713817592095,NA
"merged_fishcard_12S_all_233","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
"merged_fishcard_12S_all_234","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Hermosilla;Hermosilla azurea"
"merged_fishcard_12S_all_235","Taylor",6,0.802396160540849,NA
"merged_fishcard_12S_all_236","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_237","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Hermosilla;Hermosilla azurea"
"merged_fishcard_12S_all_238","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha"
"merged_fishcard_12S_all_24","Taylor",17,0.989910153229993,"Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi"
"merged_fishcard_12S_all_240","Taylor",1,0.644483826915621,"Eukaryota;Chordata;Actinopteri;;;;"
